"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO"
"BLAP-0.5","2012-06-20","22","250","8,3","=","3","1"
"BLAP-0.5","2012-08-27","24,4","234","8,7","=","7","1"
"BLAP-0.5","2012-08-22","22,2","204","8,6","=","8","1"
"BLAP-0.5","2012-07-10","22,3","275","8,4","=","13","1"
"BLAP-0.5","2012-09-11","19,2","249","8,6","=","13","1"
"BLAP-0.5","2012-07-30","24,6","240","8,8","=","50","1"
"BLAP-0.5","2012-06-04","16,6","204","8,9","=","16","0"
"BLAP-0.5","2012-09-27","15,7","175","8,4","=","31","0"
"BLAP-0.5","2012-09-05","22,5","233","8,6","=","66","0"
"BLAP-0.5","2012-05-29","17,1","248","8,8","=","240","0"
"BLAP-0.5","2012-07-16","25,1","268","8,7","=","290","0"
"BLAP-0.5","2012-08-16","23,4","222","8,7","=","3","-1"
"BLAP-0.5","2012-06-28","20,2","258","8,4","=","5","-1"
"BLAP-0.5","2012-07-04","23,3","256","8,4","=","7","-1"
"BLAP-0.5","2012-06-13","20,4","218","8,5","=","28","-1"
"BLAP-0.5","2012-05-23","15,8","251","8,3","=","31","-1"
"BLAP-0.5","2012-10-02","15,2","219","8,3","=","33","-1"
"BLAP-0.5","2012-08-06","24,2","252","8,5","=","42","-1"
"BLAP-0.5","2012-09-20","16,9","226","8,4","=","15","-2"
"BLAP-0.5","2012-07-25","23,1","277","8,5","=","18","-2"
"BLAP-01","2012-08-22","22,9","231","8,7","=","25","1"
"BLAP-01","2012-08-27","24,4","225","8,7","=","34","1"
"BLAP-01","2012-07-30","24,8","240","8,9","=","42","1"
"BLAP-01","2012-09-11","20,2","227","8,5","=","46","1"
"BLAP-01","2012-07-10","23,9","274","8,4","=","70","1"
"BLAP-01","2012-06-20","22,5","250","8,3","=","220","1"
"BLAP-01","2012-09-27","15,7","192","8,4","=","16","0"
"BLAP-01","2012-07-16","25,7","264","8,9","=","36","0"
"BLAP-01","2012-06-04","17,2","222","9,1","=","52","0"
"BLAP-01","2012-05-29","18,4","246",,"=","62","0"
"BLAP-01","2012-09-05","22,4","229","8,6","=","300","0"
"BLAP-01","2012-06-13","20,6","244","8,3","=","40","-1"
"BLAP-01","2012-08-16","24","227","8,6","=","48","-1"
"BLAP-01","2012-06-28","20,9","273","8,4","=","54","-1"
"BLAP-01","2012-07-04","23,6","265","8,6","=","68","-1"
"BLAP-01","2012-10-02","14,8","160","8,3","=","76","-1"
"BLAP-01","2012-08-06","25,4","264","8,7","=","86","-1"
